metric,GT_percent,GPT-5.1_percent,Gemini_percent,Deepseek_percent,GPT-5.1_over_GT,Gemini_over_GT,Deepseek_over_GT
accuracy,7.24388379204893,6.909090909090909,5.332141793267799,15.652173913043478,0.953782681698249,0.7360888090336972,2.1607433750143397
f1,4.7782874617737,10.44848484848485,6.404527852249032,12.765217391304347,2.186658909090909,1.3403395889186775,2.6715046956521737
recall,2.4464831804281344,1.4787878787878788,0.5361930294906166,2.4,0.6044545454545455,0.21916890080428958,0.981
precision,2.2362385321100917,1.4787878787878788,0.47661602621388144,2.4695652173913043,0.6612836052836053,0.21313291018384853,1.1043389074693422
rouge,1.6246177370030581,2.690909090909091,2.4128686327077746,2.643478260869565,1.6563336898395722,1.4851916101561267,1.627138618925831
pearson,1.070336391437309,0.6303030303030303,1.1319630622579684,0.591304347826087,0.5888831168831168,1.0575769181667303,0.5524472049689441
perplexity,0.9174311926605505,2.109090909090909,2.8596961572832886,2.4,2.2989090909090906,3.1170688114387843,2.6159999999999997
bleu,0.9174311926605505,3.5636363636363635,0.9532320524277629,3.860869565217391,3.884363636363636,1.0390229371462614,4.208347826086956
successrate,0.8983180428134556,0.8,1.2511170688114388,2.226086956521739,0.8905531914893617,1.3927328731960529,2.4780610545790935
latency,0.8027522935779816,1.0909090909090908,0.05957700327673518,1.9130434782608696,1.358961038961039,0.07421592408187583,2.383105590062112
cohenkappa,0.7071865443425076,0.0,0.0,0.0,0.0,0.0,0.0
spearman,0.7071865443425076,0.896969696969697,0.4170390229371463,0.3130434782608696,1.2683636363636364,0.5897157210830134,0.44266039952996483
exactmatch,0.6498470948012233,5.551515151515152,3.723562704795949,1.8782608695652174,8.542802139037434,5.729905903380119,2.890312020460358
throughput,0.5542813455657493,0.6303030303030303,0.2680965147453083,1.1130434782608696,1.1371536050156739,0.48368309143015625,2.0080839580209893
pass1,0.5351681957186545,1.2363636363636363,1.817098599940423,0.591304347826087,2.310233766233766,3.3953785267458185,1.1048944099378881
winrate,0.45871559633027525,0.48484848484848486,0.7447125409591897,0.17391304347826086,1.056969696969697,1.6234733392910334,0.37913043478260866
speedup,0.45871559633027525,0.024242424242424242,0.02978850163836759,0.20869565217391303,0.052848484848484846,0.06493893357164134,0.45495652173913037
runtime,0.4396024464831804,0.09696969696969697,0.0,0.10434782608695652,0.22058498023715414,0.0,0.23736862003780718
auc,0.4396024464831804,0.3878787878787879,0.08936550491510277,0.41739130434782606,0.8823399209486166,0.2032870963981816,0.9494744801512287
bertscore,0.4396024464831804,2.278787878787879,1.817098599940423,0.3826086956521739,5.1837470355731226,4.133504293429692,0.870351606805293
aucroc,0.4013761467889908,1.4545454545454546,1.6681560917485851,1.4956521739130435,3.6238961038961044,4.156091748585046,3.7263105590062113
meteor,0.4013761467889908,0.21818181818181817,0.17873100983020554,0.17391304347826086,0.5435844155844156,0.44529554449125497,0.4332919254658385
ttft,0.382262996941896,0.0,0.23830801310694072,0.0,0.0,0.6234137622877569,0.0
cosinesimilarity,0.382262996941896,0.07272727272727272,0.5659815311289842,0.34782608695652173,0.19025454545454545,1.4806076854334227,0.9099130434782609
rmse,0.36314984709480125,0.5333333333333333,0.6255585344057194,0.48695652173913045,1.4686315789473683,1.7225906589530124,1.3409244851258582
mae,0.36314984709480125,0.6060606060606061,0.3574620196604111,0.34782608695652173,1.6688995215311004,0.9843375194017214,0.9578032036613271
attacksuccessrate,0.3440366972477064,0.5575757575757576,2.114983616324099,0.8,1.6206868686868687,6.147552378115381,2.3253333333333335
specificity,0.3058103975535168,0.0,0.0,0.034782608695652174,0.0,0.0,0.11373913043478262
memoryusage,0.3058103975535168,0.14545454545454545,0.0,0.3826086956521739,0.47563636363636363,0.0,1.2511304347826089
completeness,0.3058103975535168,0.0,0.02978850163836759,0.0,0.0,0.09740840035746202,0.0
pvalue,0.286697247706422,0.0,0.02978850163836759,0.0,0.0,0.10390229371462616,0.0
rocauc,0.286697247706422,0.7515151515151515,0.23830801310694072,0.06956521739130435,2.6212848484848483,0.8312183497170093,0.24264347826086957
tpot,0.26758409785932724,0.0,0.0,0.0,0.0,0.0,0.0
r2,0.26758409785932724,0.24242424242424243,0.0,0.034782608695652174,0.9059740259740259,0.0,0.12998757763975155
executiontime,0.2484709480122324,0.024242424242424242,0.05957700327673518,0.20869565217391303,0.09756643356643357,0.2397745239568296,0.8399197324414716
attacksuccess,0.2484709480122324,0.8242424242424242,0.0,0.034782608695652174,3.3172587412587413,0.0,0.1399866220735786
mse,0.2484709480122324,0.12121212121212122,0.17873100983020554,0.10434782608695652,0.4878321678321679,0.7193235718704888,0.4199598662207358
clarity,0.2484709480122324,0.0,0.0,0.0,0.0,0.0,0.0
tokenusage,0.22935779816513763,0.12121212121212122,0.23830801310694072,0.06956521739130435,0.5284848484848484,1.0390229371462614,0.30330434782608695
cost,0.22935779816513763,0.0,0.0,0.17391304347826086,0.0,0.0,0.7582608695652173
standarddeviation,0.22935779816513763,0.0,0.02978850163836759,0.0,0.0,0.12987786714328267,0.0
ndcg,0.22935779816513763,0.36363636363636365,0.11915400655347036,1.0434782608695652,1.5854545454545454,0.5195114685731307,4.549565217391304
passk,0.22935779816513763,0.2909090909090909,0.8042895442359249,0.034782608695652174,1.2683636363636361,3.5067024128686324,0.15165217391304348
inferencetime,0.22935779816513763,0.0,0.23830801310694072,0.48695652173913045,0.0,1.0390229371462614,2.1231304347826088
fleisskappa,0.21024464831804282,0.07272727272727272,0.02978850163836759,0.034782608695652174,0.3459173553719008,0.14168494597449022,0.16543873517786561
top3accuracy,0.21024464831804282,0.0,0.0,0.0,0.0,0.0,0.0
coverage,0.21024464831804282,0.048484848484848485,0.0,0.24347826086956523,0.23061157024793388,0.0,1.1580711462450592
refusalrate,0.191131498470948,0.36363636363636365,0.5957700327673519,0.17391304347826086,1.9025454545454545,3.117068811438785,0.9099130434782609
kldivergence,0.191131498470948,0.3393939393939394,0.5957700327673519,0.2782608695652174,1.775709090909091,3.117068811438785,1.4558608695652173
reward,0.191131498470948,0.024242424242424242,0.0,0.0,0.12683636363636364,0.0,0.0
relevance,0.191131498470948,0.0,0.0,0.0,0.0,0.0,0.0
macrorecall,0.191131498470948,0.0,0.0,0.0,0.0,0.0,0.0
